Template Title,Template Type ,TemplateId
Cognitive Status Problem Observation,entry,2.16.840.1.113883.10.20.22.4.73
Cognitive Status Result Observation,entry,2.16.840.1.113883.10.20.22.4.74
Cognitive Status Result Organizer,entry,2.16.840.1.113883.10.20.22.4.75
Comment Activity,entry,2.16.840.1.113883.10.20.22.4.64
Coverage Activity,entry,2.16.840.1.113883.10.20.22.4.60
Deceased Observation,entry,2.16.840.1.113883.10.20.22.4.79
Discharge Medication,entry,2.16.840.1.113883.10.20.22.4.35
Drug Vehicle,entry,2.16.840.1.113883.10.20.22.4.24
Encounter Activities,entry,2.16.840.1.113883.10.20.22.4.49
Encounter Diagnosis,entry,2.16.840.1.113883.10.20.22.4.80 
Estimated Date of Delivery,entry,2.16.840.1.113883.10.20.15.3.1
Family History Death Observation,entry,2.16.840.1.113883.10.20.22.4.47
Family History Observation,entry,2.16.840.1.113883.10.20.22.4.46
Family History Organizer,entry,2.16.840.1.113883.10.20.22.4.45
Functional Status Problem Observation,entry,2.16.840.1.113883.10.20.22.4.68
Functional Status Result Observation,entry,2.16.840.1.113883.10.20.22.4.67
Functional Status Result Organizer,entry,2.16.840.1.113883.10.20.22.4.66
 Observation,entry,2.16.840.1.113883.10.20.22.4.5
Highest Pressure Ulcer Stage,entry,2.16.840.1.113883.10.20.22.4.77
Hospital Admission Diagnosis,entry,2.16.840.1.113883.10.20.22.4.34
Hospital Discharge Diagnosis,entry,2.16.840.1.113883.10.20.22.4.33
Immunization Activity,entry,2.16.840.1.113883.10.20.22.4.52
Immunization Medication Information,entry,2.16.840.1.113883.10.20.22.4.54
Immunization Refusal Reason,entry,2.16.840.1.113883.10.20.22.4.53
Indication,entry,2.16.840.1.113883.10.20.22.4.19
Instructions,entry,2.16.840.1.113883.10.20.22.4.20
Medication Activity,entry,2.16.840.1.113883.10.20.22.4.16
Medication Dispense,entry,2.16.840.1.113883.10.20.22.4.18
Medication Information,entry,2.16.840.1.113883.10.20.22.4.23
Medication Supply Order,entry,2.16.840.1.113883.10.20.22.4.17
Medication Use - None Known (deprecated),entry,2.16.840.1.113883.10.20.22.4.29
Non-Medicinal Supply Activity,entry,2.16.840.1.113883.10.20.22.4.50
Number of Pressure Ulcers Observation,entry,2.16.840.1.113883.10.20.22.4.76
Plan of Care Activity Act,entry,2.16.840.1.113883.10.20.22.4.39
Plan of Care Activity Encounter,entry,2.16.840.1.113883.10.20.22.4.40
Plan of Care Activity Observation,entry,2.16.840.1.113883.10.20.22.4.44
Plan of Care Activity Procedure,entry,2.16.840.1.113883.10.20.22.4.41
Plan of Care Activity Substance Administration,entry,2.16.840.1.113883.10.20.22.4.42
Plan of Care Activity Supply,entry,2.16.840.1.113883.10.20.22.4.43
Policy Activity,entry,2.16.840.1.113883.10.20.22.4.61
Postprocedure Diagnosis,entry,2.16.840.1.113883.10.20.22.4.51
Precondition for Substance Administration,entry,2.16.840.1.113883.10.20.22.4.25
Pregnancy Observation,entry,2.16.840.1.113883.10.20.15.3.8
Preoperative Diagnosis,entry,2.16.840.1.113883.10.20.22.4.65
Pressure Ulcer Observation,entry,2.16.840.1.113883.10.20.22.4.70
Problem Concern Act (Condition),entry,2.16.840.1.113883.10.20.22.4.3
Problem Observation,entry,2.16.840.1.113883.10.20.22.4.4
Problem Status,entry,2.16.840.1.113883.10.20.22.4.6
Procedure Activity Act,entry,2.16.840.1.113883.10.20.22.4.12
Procedure Activity Observation,entry,2.16.840.1.113883.10.20.22.4.13
Procedure Activity Procedure,entry,2.16.840.1.113883.10.20.22.4.14
Procedure Context,entry,2.16.840.1.113883.10.20.6.2.5
Product Instance,entry,2.16.840.1.113883.10.20.22.4.37
Purpose of Reference Observation,entry,2.16.840.1.113883.10.20.6.2.9
Quantity Measurement Observation,entry,2.16.840.1.113883.10.20.6.2.14
Reaction Observation,entry,2.16.840.1.113883.10.20.22.4.9
Referenced Frames Observation,entry,2.16.840.1.113883.10.20.6.2.10
Result Observation,entry,2.16.840.1.113883.10.20.22.4.2
Result Organizer,entry,2.16.840.1.113883.10.20.22.4.1
Series Act,entry,2.16.840.1.113883.10.20.22.4.63
Service Delivery Location,entry,2.16.840.1.113883.10.20.22.4.32
Severity Observation,entry,2.16.840.1.113883.10.20.22.4.8
Smoking Status Observation,entry,2.16.840.1.113883.10.22.4.78
Social History Observation,entry,2.16.840.1.113883.10.20.22.4.38
SOP Instance Observation,entry,2.16.840.1.113883.10.20.6.2.8
Study Act,entry,2.16.840.1.113883.10.20.6.2.6
Text Observation,entry,2.16.840.1.113883.10.20.6.2.12
Tobacco Use,entry,2.16.840.1.113883.10.20.22.4.85
Vital Sign Observation,entry,2.16.840.1.113883.10.20.22.4.27
Vital Signs Organizer,entry,2.16.840.1.113883.10.20.22.4.26
Physician of Record Participant,unspecified,2.16.840.1.113883.10.20.6.2.2
Physician Reading Study Performer,unspecified,2.16.840.1.113883.10.20.6.2.1
