Template Title,Template Type,Template ID,Extension
Health Status Evaluations and Outcomes Section,section,2.16.840.1.113883.10.20.22.2.61,
Course of Care Section,section,2.16.840.1.113883.10.20.22.2.64,
Procedures Section (entries optional) (V2),section,2.16.840.1.113883.10.20.22.2.7,2014-06-09
Procedures Section (entries required) (V2),section,2.16.840.1.113883.10.20.22.2.7.1,2014-06-09
Assessment Section,section,2.16.840.1.113883.10.20.22.2.8,
Assessment and Plan Section (V2),section,2.16.840.1.113883.10.20.22.2.9,2014-06-09
Result Organizer (V3),entry,2.16.840.1.113883.10.20.22.4.1,2015-08-01
Advance Directive Organizer (V2),entry,2.16.840.1.113883.10.20.22.4.108,2015-08-01
Characteristics of Home Environment,entry,2.16.840.1.113883.10.20.22.4.109,
Progress Toward Goal Observation,entry,2.16.840.1.113883.10.20.22.4.110,
Cultural and Religious Observation,entry,2.16.840.1.113883.10.20.22.4.111,
Prognosis Observation,entry,2.16.840.1.113883.10.20.22.4.113,
Longitudinal Care Wound Observation (V2),entry,2.16.840.1.113883.10.20.22.4.114,2015-08-01
External Document Reference,entry,2.16.840.1.113883.10.20.22.4.115,2014-06-09
Substance Administered Act,entry,2.16.840.1.113883.10.20.22.4.118,
Author Participation,unspecified,2.16.840.1.113883.10.20.22.4.119,
Procedure Activity Act (V2),entry,2.16.840.1.113883.10.20.22.4.12,2014-06-09
Planned Immunization Activity,entry,2.16.840.1.113883.10.20.22.4.120,
Goal Observation,entry,2.16.840.1.113883.10.20.22.4.121,
Entry Reference,entry,2.16.840.1.113883.10.20.22.4.122,
Drug Monitoring Act,entry,2.16.840.1.113883.10.20.22.4.123,
Nutritional Status Observation,entry,2.16.840.1.113883.10.20.22.4.124,
Sensory Status,entry,2.16.840.1.113883.10.20.22.4.127,
Self-Care Activities (ADL and IADL),entry,2.16.840.1.113883.10.20.22.4.128,
Planned Coverage,entry,2.16.840.1.113883.10.20.22.4.129,
Procedure Activity Observation (V2),entry,2.16.840.1.113883.10.20.22.4.13,2014-06-09
Nutrition Recommendation,entry,2.16.840.1.113883.10.20.22.4.130,
Intervention Act (V2),entry,2.16.840.1.113883.10.20.22.4.131,2015-08-01
Health Concern Act (V2),entry,2.16.840.1.113883.10.20.22.4.132,2015-08-01
Wound Measurement Observation,entry,2.16.840.1.113883.10.20.22.4.133,
Wound Characteristic,entry,2.16.840.1.113883.10.20.22.4.134,
Medical Equipment Organizer,entry,2.16.840.1.113883.10.20.22.4.135,
Risk Concern Act (V2),entry,2.16.840.1.113883.10.20.22.4.136,2015-08-01
Nutrition Assessment,entry,2.16.840.1.113883.10.20.22.4.138,
Procedure Activity Procedure (V2),entry,2.16.840.1.113883.10.20.22.4.14,2014-06-09
Patient Referral Act,entry,2.16.840.1.113883.10.20.22.4.140,
Handoff Communication Participants,entry,2.16.840.1.113883.10.20.22.4.141,
Priority Preference,entry,2.16.840.1.113883.10.20.22.4.143,
Outcome Observation,entry,2.16.840.1.113883.10.20.22.4.144,
Criticality Observation,entry,2.16.840.1.113883.10.20.22.4.145,
Planned Intervention Act (V2),entry,2.16.840.1.113883.10.20.22.4.146,2015-08-01
Medication Free Text Sig,entry,2.16.840.1.113883.10.20.22.4.147,
Medication Activity (V2),entry,2.16.840.1.113883.10.20.22.4.16,2014-06-09
Medication Supply Order (V2),entry,2.16.840.1.113883.10.20.22.4.17,2014-06-09
Medication Dispense (V2),entry,2.16.840.1.113883.10.20.22.4.18,2014-06-09
Indication (V2),entry,2.16.840.1.113883.10.20.22.4.19,2014-06-09
Result Observation (V3),entry,2.16.840.1.113883.10.20.22.4.2,2015-08-01
Instruction (V2),entry,2.16.840.1.113883.10.20.22.4.20,2014-06-09
Medication Information (V2),entry,2.16.840.1.113883.10.20.22.4.23,2014-06-09
Drug Vehicle,entry,2.16.840.1.113883.10.20.22.4.24,
Precondition for Substance Administration (V2),entry,2.16.840.1.113883.10.20.22.4.25,2014-06-09
Vital Signs Organizer (V3),entry,2.16.840.1.113883.10.20.22.4.26,2015-08-01
Vital Sign Observation (V2),entry,2.16.840.1.113883.10.20.22.4.27,2014-06-09
Allergy Status Observation (DEPRECATED),entry,2.16.840.1.113883.10.20.22.4.28,2014-06-09
Problem Concern Act (V3),entry,2.16.840.1.113883.10.20.22.4.3,2015-08-01
Allergy Concern Act (V3),entry,2.16.840.1.113883.10.20.22.4.30,2015-08-01
Age Observation,entry,2.16.840.1.113883.10.20.22.4.31,
Service Delivery Location,entry,2.16.840.1.113883.10.20.22.4.32,
Hospital Discharge Diagnosis (V3),entry,2.16.840.1.113883.10.20.22.4.33,2015-08-01
Hospital Admission Diagnosis (V3),entry,2.16.840.1.113883.10.20.22.4.34,2015-08-01
Discharge Medication (V2),entry,2.16.840.1.113883.10.20.22.4.35,2014-06-09
Admission Medication (V2),entry,2.16.840.1.113883.10.20.22.4.36,2014-06-09
Product Instance,entry,2.16.840.1.113883.10.20.22.4.37,
Social History Observation (V3),entry,2.16.840.1.113883.10.20.22.4.38,2015-08-01
Planned Act (V2),entry,2.16.840.1.113883.10.20.22.4.39,2014-06-09
Problem Observation (V3),entry,2.16.840.1.113883.10.20.22.4.4,2015-08-01
Planned Encounter (V2),entry,2.16.840.1.113883.10.20.22.4.40,2014-06-09
Planned Procedure (V2),entry,2.16.840.1.113883.10.20.22.4.41,2014-06-09
Planned Medication Activity (V2),entry,2.16.840.1.113883.10.20.22.4.42,2014-06-09
Planned Supply (V2),entry,2.16.840.1.113883.10.20.22.4.43,2014-06-09
Planned Observation (V2),entry,2.16.840.1.113883.10.20.22.4.44,2014-06-09
Family History Organizer (V3),entry,2.16.840.1.113883.10.20.22.4.45,2015-08-01
Family History Observation (V3),entry,2.16.840.1.113883.10.20.22.4.46,2015-08-01
Family History Death Observation,entry,2.16.840.1.113883.10.20.22.4.47,
Advance Directive Observation (V3),entry,2.16.840.1.113883.10.20.22.4.48,2015-08-01
Encounter Activity (V3),entry,2.16.840.1.113883.10.20.22.4.49,2015-08-01
Health Status Observation (V2),entry,2.16.840.1.113883.10.20.22.4.5,2014-06-09
Non-Medicinal Supply Activity (V2),entry,2.16.840.1.113883.10.20.22.4.50,2014-06-09
Postprocedure Diagnosis (V3),entry,2.16.840.1.113883.10.20.22.4.51,2015-08-01
Immunization Activity (V3),entry,2.16.840.1.113883.10.20.22.4.52,2015-08-01
Immunization Refusal Reason,entry,2.16.840.1.113883.10.20.22.4.53,
Immunization Medication Information (V2),entry,2.16.840.1.113883.10.20.22.4.54,2014-06-09
Problem Status (DEPRECATED),entry,2.16.840.1.113883.10.20.22.4.6,2014-06-09
Coverage Activity (V3),entry,2.16.840.1.113883.10.20.22.4.60,2015-08-01
Policy Activity (V3),entry,2.16.840.1.113883.10.20.22.4.61,2015-08-01
Series Act,entry,2.16.840.1.113883.10.20.22.4.63,
Comment Activity,entry,2.16.840.1.113883.10.20.22.4.64,
Preoperative Diagnosis (V3),entry,2.16.840.1.113883.10.20.22.4.65,2015-08-01
Functional Status Organizer (V2),entry,2.16.840.1.113883.10.20.22.4.66,2014-06-09
Functional Status Observation (V2),entry,2.16.840.1.113883.10.20.22.4.67,2014-06-09
Functional Status Problem Observation (DEPRECATED),entry,2.16.840.1.113883.10.20.22.4.68,2014-06-09
Assessment Scale Observation,entry,2.16.840.1.113883.10.20.22.4.69,
Allergy - Intolerance Observation (V2),entry,2.16.840.1.113883.10.20.22.4.7,2014-06-09
Pressure Ulcer Observation (DEPRECATED),entry,2.16.840.1.113883.10.20.22.4.70,2014-06-09
Caregiver Characteristics,entry,2.16.840.1.113883.10.20.22.4.72,
Cognitive Status Problem Observation (DEPRECATED),entry,2.16.840.1.113883.10.20.22.4.73,2014-06-09
Mental Status Observation (V3),entry,2.16.840.1.113883.10.20.22.4.74,2015-08-01
Mental Status Organizer (V3),entry,2.16.840.1.113883.10.20.22.4.75,2015-08-01
Number of Pressure Ulcers Observation (V3),entry,2.16.840.1.113883.10.20.22.4.76,2015-08-01
Highest Pressure Ulcer Stage,entry,2.16.840.1.113883.10.20.22.4.77,
Smoking Status - Meaningful Use (V2),entry,2.16.840.1.113883.10.20.22.4.78,2014-06-09
Deceased Observation (V3),entry,2.16.840.1.113883.10.20.22.4.79,2015-08-01
Severity Observation (V2),entry,2.16.840.1.113883.10.20.22.4.8,2014-06-09
Encounter Diagnosis (V3),entry,2.16.840.1.113883.10.20.22.4.80,2015-08-01
Tobacco Use (V2),entry,2.16.840.1.113883.10.20.22.4.85,2014-06-09
Assessment Scale Supporting Observation,entry,2.16.840.1.113883.10.20.22.4.86,
Reaction Observation (V2),entry,2.16.840.1.113883.10.20.22.4.9,2014-06-09
US Realm Patient Name (PTN.US.FIELDED),unspecified,2.16.840.1.113883.10.20.22.5.1,
US Realm Person Name (PN.US.FIELDED),unspecified,2.16.840.1.113883.10.20.22.5.1.1,
US Realm Address (AD.US.FIELDED),unspecified,2.16.840.1.113883.10.20.22.5.2,
US Realm Date and Time (DT.US.FIELDED),unspecified,2.16.840.1.113883.10.20.22.5.3,
US Realm Date and Time (DTM.US.FIELDED),unspecified,2.16.840.1.113883.10.20.22.5.4,
Substance or Device Allergy - Intolerance Observation (V2),entry,2.16.840.1.113883.10.20.24.3.90,2014-06-09
US Realm Header for Patient Generated Document (V2),document,2.16.840.1.113883.10.20.29.1,2015-08-01
DICOM Object Catalog Section - DCM 121181,section,2.16.840.1.113883.10.20.6.1.1,
Findings Section (DIR),section,2.16.840.1.113883.10.20.6.1.2,
Physician Reading Study Performer (V2),unspecified,2.16.840.1.113883.10.20.6.2.1,2014-06-09
Referenced Frames Observation,entry,2.16.840.1.113883.10.20.6.2.10,
Boundary Observation,entry,2.16.840.1.113883.10.20.6.2.11,
Text Observation,entry,2.16.840.1.113883.10.20.6.2.12,
Code Observations,entry,2.16.840.1.113883.10.20.6.2.13,
Quantity Measurement Observation,entry,2.16.840.1.113883.10.20.6.2.14,
Physician of Record Participant (V2),unspecified,2.16.840.1.113883.10.20.6.2.2,2014-06-09
Fetus Subject Context,section,2.16.840.1.113883.10.20.6.2.3,
Observer Context,section,2.16.840.1.113883.10.20.6.2.4,
Procedure Context,entry,2.16.840.1.113883.10.20.6.2.5,
Study Act,entry,2.16.840.1.113883.10.20.6.2.6,
SOP Instance Observation,entry,2.16.840.1.113883.10.20.6.2.8,
Purpose of Reference Observation,entry,2.16.840.1.113883.10.20.6.2.9,
Operative Note Fluids Section,section,2.16.840.1.113883.10.20.7.12,
Surgical Drains Section,section,2.16.840.1.113883.10.20.7.13,
Operative Note Surgical Procedure Section,section,2.16.840.1.113883.10.20.7.14,
Privacy Segmented Document Template,document,2.16.840.1.113883.3.3251.1.1,
Privacy Segmented Section Template,section,2.16.840.1.113883.3.3251.1.10,
Mandatory Document Provenance Template,unspecified,2.16.840.1.113883.3.3251.1.2,
Mandatory Entry Provenance Template,unspecified,2.16.840.1.113883.3.3251.1.2,
Privacy Annotation Template,unspecified,2.16.840.1.113883.3.3251.1.4,
Privacy and Security Markings Section Template,section,2.16.840.1.113883.3.3251.1.5,
Protected Problem Template,unspecified,2.16.840.1.113883.3.3251.1.8,
Privacy Markings Entry Template,entry,2.16.840.1.113883.3.3251.1.9,
